Participant,Trial,Time of first 5 consecutive on-target fixations (ms after epoch),Time of first 10 consecutive on-target fixations (ms after epoch),Time of 1st significant edit (ms after startup),Startup time (UTC ms after epoch),Time of 1st significant edit (ms after epoch),"Accuracy (0 = Not fixed, 1 = fixed)",TotalTime (s),Phase 1 Time (s),Phase 2 Time (s),Phase 3 Time (s),Recording start time (ms after epoch)
Maddie,1,1562859212540,1562859278554,798750,1562858924526,1562859723276,,,,,,
Maddie,2,1562858285612,1562858285612,933921,1562857589851,1562858523772,,,,,,
P101,1,,,?,1563386418151,N/A,,911.029,,,,
P101,2,1563388390908,1563388393058,?,1563388213657,N/A,0,1207.769,74.544,1133.225,0,1563388318514
P102,1,1563562095426,1563562294634,1108364,1563561788703,1563562897067,1,1188.351,462.011,602.433,123.907,1563561832623
P102,2,1563563620443,1563563752070,801548,1563563152814,1563563954362,1,644.756,291.057,202.292,151.407,1563563461013
P103,1,1563826245007,1563826245007,702549,1563826109715,1563826812264,1,682.783,62.736,567.257,52.79,1563826182271
P103,2,1563827625047,1563827630229,?,1563827357057,N/A,0,1218.04,260.808,957.232,0,1563827369421
P104,1,,,,,N/A,,N/A,N/A,N/A,N/A,N/A
P104,2,1563995854357,1563995854357,1074793,1563995456813,1563996531606,0,849.48,116.17,677.249,56.061,1563995738187
P105,1,1563976810585,1563976958363,?,1563976380888,N/A,0,1048.578,385.705,662.873,0,1563976572658
P105,2,1563978705615,1563978705615,592249,1563978178485,1563978770734,1,657.373,77.447,65.119,514.807,1563978628168
P106,1,1564063779601,1564063779601,289862,1564063717961,1564064007823,1,366.748,0.95,228.222,137.576,1564063778651
P106,2,1564064935884,1564064935884,756641,1564064517465,1564065274106,0,1208.241,345.08,338.222,524.939,1564064590804
P107,1,1564601861797,1564601861797,770386,1564601723112,1564602493498,1,1209.325,67.025,631.701,510.599,1564601794772
P107,2,1564603460460,1564603615502,671760,1564603285260,1564603957020,1,795.888,202.202,341.518,252.168,1564603413300
P108,1,1564495761257,1564496018538,?,1564495597999,,0,1148.075,257.356,890.719,0,1564495761182
P108,2,1564497482937,1564497545572,989706,1564497249445,1564498239151,1,1012.661,122.953,693.579,196.129,1564497422619
P109,1,Not enough on-target fixations,Not enough on-target fixations,?,1564434601014,,0,1173.344,1173.344,0,0,1564434694619
P109,2,1564436714945,1564436714945,972844,1564436290209,1564437263053,0,1193.721,385.578,548.108,260.035,1564436329367
